Station,Periods,Hurst (kind=random_walk) ,Hurst (kind=price) ,Hurst (kind=change) ,Hurst (fit=poly) ,Hurst (fit=RANSAC) ,Lyapunov (Rosenstein's),Hurst (local) ,Hurst (Ernie Chan) 
el_carmen,"[365, 182]",0.1937010240709014,0.30800482245658,0.9000883484760002,1.0716028691483506,1.0716028691483503,0,,
el_carmen,"[365, 182]",0.1937010240709014,0.30800482245658,0.9000883484760002,1.0716028691483506,1.0716028691483503,0,,
el_carmen,"[365, 182]",0.1937010240709014,0.30800482245658,0.9000883484760002,1.0716028691483506,1.0716028691483503,0,,
el_carmen,"[365, 182]",0.1807766805454305,0.2664197421028956,0.9260267210788244,1.0755450889213538,1.0755450889213534,0,,
el_carmen,"[365, 182]",0.1807766805454305,0.2664197421028956,0.9260267210788244,1.0755450889213538,1.0755450889213534,0,,
el_carmen,"[365, 182]",0.1807766805454305,0.2664197421028956,0.9260267210788244,1.0755450889213538,1.0755450889213534,0,,
el_carmen,"[365, 182]",0.1807766805454305,0.2664197421028956,0.9260267210788244,1.0755450889213538,1.0755450889213534,0,,
el_carmen,"[365, 182]",0.1807766805454305,0.2664197421028956,0.9260267210788244,1.0755450889213538,1.0755450889213534,0,0.5428538328904713,
el_carmen,"[365, 182]",0.1937010240709014,0.30800482245658,0.9000883484760002,1.0716028691483506,1.0716028691483503,0,,
el_carmen,"[365, 182]",0.1937010240709014,0.30800482245658,0.9000883484760002,1.0716028691483506,1.0716028691483503,0,,
el_carmen,"[365, 182]",0.1937010240709014,0.30800482245658,0.9000883484760002,1.0716028691483506,1.0716028691483503,0,,
el_carmen,"[365, 182]",0.1937010240709014,0.30800482245658,0.9000883484760002,1.0716028691483506,1.0716028691483503,0,,
el_carmen,"[365, 182]",0.1937010240709014,0.30800482245658,0.9000883484760002,1.0716028691483506,1.0716028691483503,0,,
el_carmen,"[365, 182]",0.1937010240709014,0.30800482245658,0.9000883484760002,1.0716028691483506,1.0716028691483503,0,,0.0546932952311911
el_carmen,"[365, 182]",0.1937010240709014,0.30800482245658,0.9000883484760002,1.0716028691483506,1.0716028691483503,0,,0.172159746435156
el_carmen,"[365, 182]",0.1937010240709014,0.30800482245658,0.9000883484760002,1.0716028691483506,1.0716028691483503,0,,0.1884890599816626
el_carmen,"[365, 182]",0.19370102407090145,0.30800482245658,0.9000883484760002,1.0716028691483506,1.0716028691483503,0,,0.18848905998166265
